timestamp,source_file,level,indicator_tags,ip_src,ip_dst,service,message,line_number
1900-12-10 06:55:46,OpenSSH_2k.log,INFO,error,173.234.31.186,,,LabSZ sshd[24200]: reverse mapping checking getaddrinfo for ns.marryaldkfaczcz.com [] failed - POSSIBLE BREAK-IN ATTEMPT!,1
1900-12-10 06:55:46,OpenSSH_2k.log,INFO,error,173.234.31.186,,,LabSZ sshd[24200]: Invalid user webmaster from,2
1900-12-10 06:55:46,OpenSSH_2k.log,INFO,error,,,,LabSZ sshd[24200]: input_userauth_request: invalid user webmaster [preauth],3
1900-12-10 06:55:46,OpenSSH_2k.log,INFO,security,,,,LabSZ sshd[24200]: pam_unix(sshd:auth): check pass; user unknown,4
1900-12-10 06:55:46,OpenSSH_2k.log,INFO,error;security,173.234.31.186,,,LabSZ sshd[24200]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=,5
1900-12-10 06:55:48,OpenSSH_2k.log,INFO,error,173.234.31.186,,,LabSZ sshd[24200]: Failed password for invalid user webmaster from port 38926 ssh2,6
1900-12-10 06:55:48,OpenSSH_2k.log,INFO,,173.234.31.186,,,LabSZ sshd[24200]: Connection closed by [preauth],7
1900-12-10 07:02:47,OpenSSH_2k.log,INFO,,212.47.254.145,,,LabSZ sshd[24203]: Connection closed by [preauth],8
1900-12-10 07:07:38,OpenSSH_2k.log,INFO,error,52.80.34.196,,,LabSZ sshd[24206]: Invalid user test9 from,9
1900-12-10 07:07:38,OpenSSH_2k.log,INFO,error,,,,LabSZ sshd[24206]: input_userauth_request: invalid user test9 [preauth],10
1900-12-10 07:07:38,OpenSSH_2k.log,INFO,security,,,,LabSZ sshd[24206]: pam_unix(sshd:auth): check pass; user unknown,11
1900-12-10 07:07:38,OpenSSH_2k.log,INFO,error;security,,,,LabSZ sshd[24206]: pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=ec2-52-80-34-196.cn-north-1.compute.amazonaws.com.cn,12
1900-12-10 07:07:45,OpenSSH_2k.log,INFO,error,52.80.34.196,,,LabSZ sshd[24206]: Failed password for invalid user test9 from port 36060 ssh2,13
1900-12-10 07:07:45,OpenSSH_2k.log,INFO,,52.80.34.196,,,LabSZ sshd[24206]: Received disconnect from : 11: Bye Bye [preauth],14
